paramSetNum,N,g0,g1,kd,ha,hr,fa,fr
1,20,0.5,7,1,1e-05,1e-05,1e-05,1e-05
2,20,0.5,7,1,1e-05,1e-05,1e-05,0.001
3,20,0.5,7,1,1e-05,1e-05,1e-05,0.1
4,20,0.5,7,1,1e-05,1e-05,1e-05,1.0
5,20,0.5,7,1,1e-05,1e-05,1e-05,10.0
6,20,0.5,7,1,1e-05,1e-05,1e-05,1000.0
7,20,0.5,7,1,1e-05,1e-05,0.001,1e-05
8,20,0.5,7,1,1e-05,1e-05,0.001,0.001
9,20,0.5,7,1,1e-05,1e-05,0.001,0.1
10,20,0.5,7,1,1e-05,1e-05,0.001,1.0
11,20,0.5,7,1,1e-05,1e-05,0.001,10.0
12,20,0.5,7,1,1e-05,1e-05,0.001,1000.0
13,20,0.5,7,1,1e-05,1e-05,0.1,1e-05
14,20,0.5,7,1,1e-05,1e-05,0.1,0.001
15,20,0.5,7,1,1e-05,1e-05,0.1,0.1
16,20,0.5,7,1,1e-05,1e-05,0.1,1.0
17,20,0.5,7,1,1e-05,1e-05,0.1,10.0
18,20,0.5,7,1,1e-05,1e-05,0.1,1000.0
19,20,0.5,7,1,1e-05,1e-05,1.0,1e-05
20,20,0.5,7,1,1e-05,1e-05,1.0,0.001
21,20,0.5,7,1,1e-05,1e-05,1.0,0.1
22,20,0.5,7,1,1e-05,1e-05,1.0,1.0
23,20,0.5,7,1,1e-05,1e-05,1.0,10.0
24,20,0.5,7,1,1e-05,1e-05,1.0,1000.0
25,20,0.5,7,1,1e-05,1e-05,10.0,1e-05
26,20,0.5,7,1,1e-05,1e-05,10.0,0.001
27,20,0.5,7,1,1e-05,1e-05,10.0,0.1
28,20,0.5,7,1,1e-05,1e-05,10.0,1.0
29,20,0.5,7,1,1e-05,1e-05,10.0,10.0
30,20,0.5,7,1,1e-05,1e-05,10.0,1000.0
31,20,0.5,7,1,1e-05,1e-05,1000.0,1e-05
32,20,0.5,7,1,1e-05,1e-05,1000.0,0.001
33,20,0.5,7,1,1e-05,1e-05,1000.0,0.1
34,20,0.5,7,1,1e-05,1e-05,1000.0,1.0
35,20,0.5,7,1,1e-05,1e-05,1000.0,10.0
36,20,0.5,7,1,1e-05,1e-05,1000.0,1000.0
37,20,0.5,7,1,1e-05,0.001,1e-05,1e-05
38,20,0.5,7,1,1e-05,0.001,1e-05,0.001
39,20,0.5,7,1,1e-05,0.001,1e-05,0.1
40,20,0.5,7,1,1e-05,0.001,1e-05,1.0
41,20,0.5,7,1,1e-05,0.001,1e-05,10.0
42,20,0.5,7,1,1e-05,0.001,1e-05,1000.0
43,20,0.5,7,1,1e-05,0.001,0.001,1e-05
44,20,0.5,7,1,1e-05,0.001,0.001,0.001
45,20,0.5,7,1,1e-05,0.001,0.001,0.1
46,20,0.5,7,1,1e-05,0.001,0.001,1.0
47,20,0.5,7,1,1e-05,0.001,0.001,10.0
48,20,0.5,7,1,1e-05,0.001,0.001,1000.0
49,20,0.5,7,1,1e-05,0.001,0.1,1e-05
50,20,0.5,7,1,1e-05,0.001,0.1,0.001
51,20,0.5,7,1,1e-05,0.001,0.1,0.1
52,20,0.5,7,1,1e-05,0.001,0.1,1.0
53,20,0.5,7,1,1e-05,0.001,0.1,10.0
54,20,0.5,7,1,1e-05,0.001,0.1,1000.0
55,20,0.5,7,1,1e-05,0.001,1.0,1e-05
56,20,0.5,7,1,1e-05,0.001,1.0,0.001
57,20,0.5,7,1,1e-05,0.001,1.0,0.1
58,20,0.5,7,1,1e-05,0.001,1.0,1.0
59,20,0.5,7,1,1e-05,0.001,1.0,10.0
60,20,0.5,7,1,1e-05,0.001,1.0,1000.0
61,20,0.5,7,1,1e-05,0.001,10.0,1e-05
62,20,0.5,7,1,1e-05,0.001,10.0,0.001
63,20,0.5,7,1,1e-05,0.001,10.0,0.1
64,20,0.5,7,1,1e-05,0.001,10.0,1.0
65,20,0.5,7,1,1e-05,0.001,10.0,10.0
66,20,0.5,7,1,1e-05,0.001,10.0,1000.0
67,20,0.5,7,1,1e-05,0.001,1000.0,1e-05
68,20,0.5,7,1,1e-05,0.001,1000.0,0.001
69,20,0.5,7,1,1e-05,0.001,1000.0,0.1
70,20,0.5,7,1,1e-05,0.001,1000.0,1.0
71,20,0.5,7,1,1e-05,0.001,1000.0,10.0
72,20,0.5,7,1,1e-05,0.001,1000.0,1000.0
73,20,0.5,7,1,1e-05,0.1,1e-05,1e-05
74,20,0.5,7,1,1e-05,0.1,1e-05,0.001
75,20,0.5,7,1,1e-05,0.1,1e-05,0.1
76,20,0.5,7,1,1e-05,0.1,1e-05,1.0
77,20,0.5,7,1,1e-05,0.1,1e-05,10.0
78,20,0.5,7,1,1e-05,0.1,1e-05,1000.0
79,20,0.5,7,1,1e-05,0.1,0.001,1e-05
80,20,0.5,7,1,1e-05,0.1,0.001,0.001
81,20,0.5,7,1,1e-05,0.1,0.001,0.1
82,20,0.5,7,1,1e-05,0.1,0.001,1.0
83,20,0.5,7,1,1e-05,0.1,0.001,10.0
84,20,0.5,7,1,1e-05,0.1,0.001,1000.0
85,20,0.5,7,1,1e-05,0.1,0.1,1e-05
86,20,0.5,7,1,1e-05,0.1,0.1,0.001
87,20,0.5,7,1,1e-05,0.1,0.1,0.1
88,20,0.5,7,1,1e-05,0.1,0.1,1.0
89,20,0.5,7,1,1e-05,0.1,0.1,10.0
90,20,0.5,7,1,1e-05,0.1,0.1,1000.0
91,20,0.5,7,1,1e-05,0.1,1.0,1e-05
92,20,0.5,7,1,1e-05,0.1,1.0,0.001
93,20,0.5,7,1,1e-05,0.1,1.0,0.1
94,20,0.5,7,1,1e-05,0.1,1.0,1.0
95,20,0.5,7,1,1e-05,0.1,1.0,10.0
96,20,0.5,7,1,1e-05,0.1,1.0,1000.0
97,20,0.5,7,1,1e-05,0.1,10.0,1e-05
98,20,0.5,7,1,1e-05,0.1,10.0,0.001
99,20,0.5,7,1,1e-05,0.1,10.0,0.1
100,20,0.5,7,1,1e-05,0.1,10.0,1.0
101,20,0.5,7,1,1e-05,0.1,10.0,10.0
102,20,0.5,7,1,1e-05,0.1,10.0,1000.0
103,20,0.5,7,1,1e-05,0.1,1000.0,1e-05
104,20,0.5,7,1,1e-05,0.1,1000.0,0.001
105,20,0.5,7,1,1e-05,0.1,1000.0,0.1
106,20,0.5,7,1,1e-05,0.1,1000.0,1.0
107,20,0.5,7,1,1e-05,0.1,1000.0,10.0
108,20,0.5,7,1,1e-05,0.1,1000.0,1000.0
109,20,0.5,7,1,1e-05,1.0,1e-05,1e-05
110,20,0.5,7,1,1e-05,1.0,1e-05,0.001
111,20,0.5,7,1,1e-05,1.0,1e-05,0.1
112,20,0.5,7,1,1e-05,1.0,1e-05,1.0
113,20,0.5,7,1,1e-05,1.0,1e-05,10.0
114,20,0.5,7,1,1e-05,1.0,1e-05,1000.0
115,20,0.5,7,1,1e-05,1.0,0.001,1e-05
116,20,0.5,7,1,1e-05,1.0,0.001,0.001
117,20,0.5,7,1,1e-05,1.0,0.001,0.1
118,20,0.5,7,1,1e-05,1.0,0.001,1.0
119,20,0.5,7,1,1e-05,1.0,0.001,10.0
120,20,0.5,7,1,1e-05,1.0,0.001,1000.0
121,20,0.5,7,1,1e-05,1.0,0.1,1e-05
122,20,0.5,7,1,1e-05,1.0,0.1,0.001
123,20,0.5,7,1,1e-05,1.0,0.1,0.1
124,20,0.5,7,1,1e-05,1.0,0.1,1.0
125,20,0.5,7,1,1e-05,1.0,0.1,10.0
126,20,0.5,7,1,1e-05,1.0,0.1,1000.0
127,20,0.5,7,1,1e-05,1.0,1.0,1e-05
128,20,0.5,7,1,1e-05,1.0,1.0,0.001
129,20,0.5,7,1,1e-05,1.0,1.0,0.1
130,20,0.5,7,1,1e-05,1.0,1.0,1.0
