paramSetNum,N,kd,g_a,g_b,g_c,g_d,ha,hr,fa,fr
1,20,1,0.01,0.01,0.01,0.01,0.001,0.001,0.001,0.001
256,20,1,0.01,0.01,0.01,0.01,1000000.0,1000000.0,1000000.0,1000000.0
257,20,1,0.01,0.01,0.01,7.0,0.001,0.001,0.001,0.001
258,20,1,0.01,0.01,0.01,7.0,0.001,0.001,0.001,1.0
259,20,1,0.01,0.01,0.01,7.0,0.001,0.001,0.001,1000.0
754,20,1,0.01,0.01,7.0,0.01,1000000.0,1000000.0,0.001,1.0
755,20,1,0.01,0.01,7.0,0.01,1000000.0,1000000.0,0.001,1000.0
1248,20,1,0.01,7.0,0.01,0.01,1000000.0,1.0,1000000.0,1000000.0
1249,20,1,0.01,7.0,0.01,0.01,1000000.0,1000.0,0.001,0.001
1250,20,1,0.01,7.0,0.01,0.01,1000000.0,1000.0,0.001,1.0
1740,20,1,0.01,7.0,7.0,0.01,1000000.0,0.001,1000.0,1000000.0
