paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr
1,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,1e-05,1e-05
2,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,1e-05,0.0005623413251903491
3,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,1e-05,0.03162277660168379
4,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,1e-05,1.7782794100389228
5,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,1e-05,100.0
6,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,0.0005623413251903491,1e-05
7,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,0.0005623413251903491,0.0005623413251903491
8,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,0.0005623413251903491,0.03162277660168379
9,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,0.0005623413251903491,1.7782794100389228
10,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,0.0005623413251903491,100.0
11,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,0.03162277660168379,1e-05
12,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,0.03162277660168379,0.0005623413251903491
13,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,0.03162277660168379,0.03162277660168379
14,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,0.03162277660168379,1.7782794100389228
15,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,0.03162277660168379,100.0
16,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,1.7782794100389228,1e-05
17,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,1.7782794100389228,0.0005623413251903491
18,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,1.7782794100389228,0.03162277660168379
19,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,1.7782794100389228,1.7782794100389228
20,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,1.7782794100389228,100.0
21,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,100.0,1e-05
22,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,100.0,0.0005623413251903491
23,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,100.0,0.03162277660168379
24,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,100.0,1.7782794100389228
25,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,1e-05,100.0,100.0
26,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,1e-05,1e-05
27,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,1e-05,0.0005623413251903491
28,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,1e-05,0.03162277660168379
29,20,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1e-05,0.0005623413251903491,1e-05,1.7782794100389228
