paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr,c_c,c_cr,c_o
1,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,0.01,1e-05,1e-05,1e-05
2,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,0.01,1e-05,1e-05,0.001
3,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,0.01,1e-05,1e-05,1.0
4,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,0.01,1e-05,0.001,1e-05
5,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,0.01,1e-05,0.001,0.001
6,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,0.01,1e-05,0.001,1.0
7,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,0.01,1e-05,0.1,1e-05
8,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,0.01,1e-05,0.1,0.001
9,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,0.01,1e-05,0.1,1.0
10,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1.0,1e-05,1e-05,1e-05
11,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1.0,1e-05,1e-05,0.001
12,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1.0,1e-05,1e-05,1.0
13,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1.0,1e-05,0.001,1e-05
14,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1.0,1e-05,0.001,0.001
15,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1.0,1e-05,0.001,1.0
16,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1.0,1e-05,0.1,1e-05
17,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,0.01,1.0,1e-05,0.1,0.001
