paramSetNum,N,kd,g_a,g_b,g_c,g_d,ha,hr,fa,fr
1,20,1,0.01,0.01,0.01,0.01,0.001,0.001,0.001,0.001
2,20,1,0.01,0.01,0.01,0.01,0.001,0.001,0.001,1.0
3,20,1,0.01,0.01,0.01,0.01,0.001,0.001,0.001,1000.0
4,20,1,0.01,0.01,0.01,0.01,0.001,0.001,0.001,1000000.0
5,20,1,0.01,0.01,0.01,0.01,0.001,0.001,1.0,0.001
6,20,1,0.01,0.01,0.01,0.01,0.001,0.001,1.0,1.0
7,20,1,0.01,0.01,0.01,0.01,0.001,0.001,1.0,1000.0
8,20,1,0.01,0.01,0.01,0.01,0.001,0.001,1.0,1000000.0
9,20,1,0.01,0.01,0.01,0.01,0.001,0.001,1000.0,0.001
10,20,1,0.01,0.01,0.01,0.01,0.001,0.001,1000.0,1.0
11,20,1,0.01,0.01,0.01,0.01,0.001,0.001,1000.0,1000.0
12,20,1,0.01,0.01,0.01,0.01,0.001,0.001,1000.0,1000000.0
13,20,1,0.01,0.01,0.01,0.01,0.001,0.001,1000000.0,0.001
14,20,1,0.01,0.01,0.01,0.01,0.001,0.001,1000000.0,1.0
15,20,1,0.01,0.01,0.01,0.01,0.001,0.001,1000000.0,1000.0
16,20,1,0.01,0.01,0.01,0.01,0.001,0.001,1000000.0,1000000.0
17,20,1,0.01,0.01,0.01,0.01,0.001,1.0,0.001,0.001
18,20,1,0.01,0.01,0.01,0.01,0.001,1.0,0.001,1.0
19,20,1,0.01,0.01,0.01,0.01,0.001,1.0,0.001,1000.0
20,20,1,0.01,0.01,0.01,0.01,0.001,1.0,0.001,1000000.0
21,20,1,0.01,0.01,0.01,0.01,0.001,1.0,1.0,0.001
22,20,1,0.01,0.01,0.01,0.01,0.001,1.0,1.0,1.0
23,20,1,0.01,0.01,0.01,0.01,0.001,1.0,1.0,1000.0
24,20,1,0.01,0.01,0.01,0.01,0.001,1.0,1.0,1000000.0
25,20,1,0.01,0.01,0.01,0.01,0.001,1.0,1000.0,0.001
26,20,1,0.01,0.01,0.01,0.01,0.001,1.0,1000.0,1.0
27,20,1,0.01,0.01,0.01,0.01,0.001,1.0,1000.0,1000.0
28,20,1,0.01,0.01,0.01,0.01,0.001,1.0,1000.0,1000000.0
