paramSetNum,N,kd,g0,g1,g2,g3,ha,hr,fa,fr
1,20,1,1.0,1.0,1.0,1.0,1e-05,1e-05,1e-05,1e-05
2,20,1,1.0,1.0,1.0,1.0,1e-05,1e-05,1e-05,0.001
3,20,1,1.0,1.0,1.0,1.0,1e-05,1e-05,1e-05,0.1
4,20,1,1.0,1.0,1.0,1.0,1e-05,1e-05,1e-05,10.0
5,20,1,1.0,1.0,1.0,1.0,1e-05,1e-05,1e-05,1000.0
6,20,1,1.0,1.0,1.0,1.0,1e-05,1e-05,0.001,1e-05
7,20,1,1.0,1.0,1.0,1.0,1e-05,1e-05,0.001,0.001
8,20,1,1.0,1.0,1.0,1.0,1e-05,1e-05,0.001,0.1
9,20,1,1.0,1.0,1.0,1.0,1e-05,1e-05,0.001,10.0
10,20,1,1.0,1.0,1.0,1.0,1e-05,1e-05,0.001,1000.0
11,20,1,1.0,1.0,1.0,1.0,1e-05,1e-05,0.1,1e-05
12,20,1,1.0,1.0,1.0,1.0,1e-05,1e-05,0.1,0.001
13,20,1,1.0,1.0,1.0,1.0,1e-05,1e-05,0.1,0.1
14,20,1,1.0,1.0,1.0,1.0,1e-05,1e-05,0.1,10.0
15,20,1,1.0,1.0,1.0,1.0,1e-05,1e-05,0.1,1000.0
16,20,1,1.0,1.0,1.0,1.0,1e-05,1e-05,10.0,1e-05
17,20,1,1.0,1.0,1.0,1.0,1e-05,1e-05,10.0,0.001
18,20,1,1.0,1.0,1.0,1.0,1e-05,1e-05,10.0,0.1
19,20,1,1.0,1.0,1.0,1.0,1e-05,1e-05,10.0,10.0
20,20,1,1.0,1.0,1.0,1.0,1e-05,1e-05,10.0,1000.0
21,20,1,1.0,1.0,1.0,1.0,1e-05,1e-05,1000.0,1e-05
22,20,1,1.0,1.0,1.0,1.0,1e-05,1e-05,1000.0,0.001
23,20,1,1.0,1.0,1.0,1.0,1e-05,1e-05,1000.0,0.1
24,20,1,1.0,1.0,1.0,1.0,1e-05,1e-05,1000.0,10.0
25,20,1,1.0,1.0,1.0,1.0,1e-05,1e-05,1000.0,1000.0
26,20,1,1.0,1.0,1.0,1.0,1e-05,0.001,1e-05,1e-05
27,20,1,1.0,1.0,1.0,1.0,1e-05,0.001,1e-05,0.001
28,20,1,1.0,1.0,1.0,1.0,1e-05,0.001,1e-05,0.1
29,20,1,1.0,1.0,1.0,1.0,1e-05,0.001,1e-05,10.0
30,20,1,1.0,1.0,1.0,1.0,1e-05,0.001,1e-05,1000.0
31,20,1,1.0,1.0,1.0,1.0,1e-05,0.001,0.001,1e-05
32,20,1,1.0,1.0,1.0,1.0,1e-05,0.001,0.001,0.001
33,20,1,1.0,1.0,1.0,1.0,1e-05,0.001,0.001,0.1
34,20,1,1.0,1.0,1.0,1.0,1e-05,0.001,0.001,10.0
35,20,1,1.0,1.0,1.0,1.0,1e-05,0.001,0.001,1000.0
36,20,1,1.0,1.0,1.0,1.0,1e-05,0.001,0.1,1e-05
37,20,1,1.0,1.0,1.0,1.0,1e-05,0.001,0.1,0.001
38,20,1,1.0,1.0,1.0,1.0,1e-05,0.001,0.1,0.1
39,20,1,1.0,1.0,1.0,1.0,1e-05,0.001,0.1,10.0
40,20,1,1.0,1.0,1.0,1.0,1e-05,0.001,0.1,1000.0
41,20,1,1.0,1.0,1.0,1.0,1e-05,0.001,10.0,1e-05
42,20,1,1.0,1.0,1.0,1.0,1e-05,0.001,10.0,0.001
43,20,1,1.0,1.0,1.0,1.0,1e-05,0.001,10.0,0.1
44,20,1,1.0,1.0,1.0,1.0,1e-05,0.001,10.0,10.0
45,20,1,1.0,1.0,1.0,1.0,1e-05,0.001,10.0,1000.0
46,20,1,1.0,1.0,1.0,1.0,1e-05,0.001,1000.0,1e-05
47,20,1,1.0,1.0,1.0,1.0,1e-05,0.001,1000.0,0.001
48,20,1,1.0,1.0,1.0,1.0,1e-05,0.001,1000.0,0.1
49,20,1,1.0,1.0,1.0,1.0,1e-05,0.001,1000.0,10.0
50,20,1,1.0,1.0,1.0,1.0,1e-05,0.001,1000.0,1000.0
51,20,1,1.0,1.0,1.0,1.0,1e-05,0.1,1e-05,1e-05
52,20,1,1.0,1.0,1.0,1.0,1e-05,0.1,1e-05,0.001
53,20,1,1.0,1.0,1.0,1.0,1e-05,0.1,1e-05,0.1
54,20,1,1.0,1.0,1.0,1.0,1e-05,0.1,1e-05,10.0
55,20,1,1.0,1.0,1.0,1.0,1e-05,0.1,1e-05,1000.0
56,20,1,1.0,1.0,1.0,1.0,1e-05,0.1,0.001,1e-05
57,20,1,1.0,1.0,1.0,1.0,1e-05,0.1,0.001,0.001
58,20,1,1.0,1.0,1.0,1.0,1e-05,0.1,0.001,0.1
59,20,1,1.0,1.0,1.0,1.0,1e-05,0.1,0.001,10.0
60,20,1,1.0,1.0,1.0,1.0,1e-05,0.1,0.001,1000.0
61,20,1,1.0,1.0,1.0,1.0,1e-05,0.1,0.1,1e-05
62,20,1,1.0,1.0,1.0,1.0,1e-05,0.1,0.1,0.001
63,20,1,1.0,1.0,1.0,1.0,1e-05,0.1,0.1,0.1
64,20,1,1.0,1.0,1.0,1.0,1e-05,0.1,0.1,10.0
65,20,1,1.0,1.0,1.0,1.0,1e-05,0.1,0.1,1000.0
66,20,1,1.0,1.0,1.0,1.0,1e-05,0.1,10.0,1e-05
67,20,1,1.0,1.0,1.0,1.0,1e-05,0.1,10.0,0.001
68,20,1,1.0,1.0,1.0,1.0,1e-05,0.1,10.0,0.1
69,20,1,1.0,1.0,1.0,1.0,1e-05,0.1,10.0,10.0
70,20,1,1.0,1.0,1.0,1.0,1e-05,0.1,10.0,1000.0
71,20,1,1.0,1.0,1.0,1.0,1e-05,0.1,1000.0,1e-05
72,20,1,1.0,1.0,1.0,1.0,1e-05,0.1,1000.0,0.001
73,20,1,1.0,1.0,1.0,1.0,1e-05,0.1,1000.0,0.1
74,20,1,1.0,1.0,1.0,1.0,1e-05,0.1,1000.0,10.0
75,20,1,1.0,1.0,1.0,1.0,1e-05,0.1,1000.0,1000.0
76,20,1,1.0,1.0,1.0,1.0,1e-05,10.0,1e-05,1e-05
77,20,1,1.0,1.0,1.0,1.0,1e-05,10.0,1e-05,0.001
78,20,1,1.0,1.0,1.0,1.0,1e-05,10.0,1e-05,0.1
79,20,1,1.0,1.0,1.0,1.0,1e-05,10.0,1e-05,10.0
80,20,1,1.0,1.0,1.0,1.0,1e-05,10.0,1e-05,1000.0
81,20,1,1.0,1.0,1.0,1.0,1e-05,10.0,0.001,1e-05
82,20,1,1.0,1.0,1.0,1.0,1e-05,10.0,0.001,0.001
83,20,1,1.0,1.0,1.0,1.0,1e-05,10.0,0.001,0.1
84,20,1,1.0,1.0,1.0,1.0,1e-05,10.0,0.001,10.0
85,20,1,1.0,1.0,1.0,1.0,1e-05,10.0,0.001,1000.0
86,20,1,1.0,1.0,1.0,1.0,1e-05,10.0,0.1,1e-05
87,20,1,1.0,1.0,1.0,1.0,1e-05,10.0,0.1,0.001
88,20,1,1.0,1.0,1.0,1.0,1e-05,10.0,0.1,0.1
89,20,1,1.0,1.0,1.0,1.0,1e-05,10.0,0.1,10.0
90,20,1,1.0,1.0,1.0,1.0,1e-05,10.0,0.1,1000.0
91,20,1,1.0,1.0,1.0,1.0,1e-05,10.0,10.0,1e-05
92,20,1,1.0,1.0,1.0,1.0,1e-05,10.0,10.0,0.001
93,20,1,1.0,1.0,1.0,1.0,1e-05,10.0,10.0,0.1
94,20,1,1.0,1.0,1.0,1.0,1e-05,10.0,10.0,10.0
95,20,1,1.0,1.0,1.0,1.0,1e-05,10.0,10.0,1000.0
96,20,1,1.0,1.0,1.0,1.0,1e-05,10.0,1000.0,1e-05
97,20,1,1.0,1.0,1.0,1.0,1e-05,10.0,1000.0,0.001
98,20,1,1.0,1.0,1.0,1.0,1e-05,10.0,1000.0,0.1
99,20,1,1.0,1.0,1.0,1.0,1e-05,10.0,1000.0,10.0
100,20,1,1.0,1.0,1.0,1.0,1e-05,10.0,1000.0,1000.0
101,20,1,1.0,1.0,1.0,1.0,1e-05,1000.0,1e-05,1e-05
102,20,1,1.0,1.0,1.0,1.0,1e-05,1000.0,1e-05,0.001
103,20,1,1.0,1.0,1.0,1.0,1e-05,1000.0,1e-05,0.1
104,20,1,1.0,1.0,1.0,1.0,1e-05,1000.0,1e-05,10.0
105,20,1,1.0,1.0,1.0,1.0,1e-05,1000.0,1e-05,1000.0
106,20,1,1.0,1.0,1.0,1.0,1e-05,1000.0,0.001,1e-05
107,20,1,1.0,1.0,1.0,1.0,1e-05,1000.0,0.001,0.001
108,20,1,1.0,1.0,1.0,1.0,1e-05,1000.0,0.001,0.1
109,20,1,1.0,1.0,1.0,1.0,1e-05,1000.0,0.001,10.0
110,20,1,1.0,1.0,1.0,1.0,1e-05,1000.0,0.001,1000.0
111,20,1,1.0,1.0,1.0,1.0,1e-05,1000.0,0.1,1e-05
112,20,1,1.0,1.0,1.0,1.0,1e-05,1000.0,0.1,0.001
113,20,1,1.0,1.0,1.0,1.0,1e-05,1000.0,0.1,0.1
114,20,1,1.0,1.0,1.0,1.0,1e-05,1000.0,0.1,10.0
115,20,1,1.0,1.0,1.0,1.0,1e-05,1000.0,0.1,1000.0
116,20,1,1.0,1.0,1.0,1.0,1e-05,1000.0,10.0,1e-05
117,20,1,1.0,1.0,1.0,1.0,1e-05,1000.0,10.0,0.001
118,20,1,1.0,1.0,1.0,1.0,1e-05,1000.0,10.0,0.1
119,20,1,1.0,1.0,1.0,1.0,1e-05,1000.0,10.0,10.0
120,20,1,1.0,1.0,1.0,1.0,1e-05,1000.0,10.0,1000.0
121,20,1,1.0,1.0,1.0,1.0,1e-05,1000.0,1000.0,1e-05
122,20,1,1.0,1.0,1.0,1.0,1e-05,1000.0,1000.0,0.001
123,20,1,1.0,1.0,1.0,1.0,1e-05,1000.0,1000.0,0.1
124,20,1,1.0,1.0,1.0,1.0,1e-05,1000.0,1000.0,10.0
125,20,1,1.0,1.0,1.0,1.0,1e-05,1000.0,1000.0,1000.0
126,20,1,1.0,1.0,1.0,1.0,0.001,1e-05,1e-05,1e-05
127,20,1,1.0,1.0,1.0,1.0,0.001,1e-05,1e-05,0.001
