paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr
1,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,1.0
2,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,4.216965034285822
3,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,17.78279410038923
4,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,74.98942093324558
5,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,316.22776601683796
6,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,1333.521432163324
7,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,5623.413251903491
8,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,23713.737056616552
9,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,100000.0
10,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,1.0
11,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,4.216965034285822
12,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,17.78279410038923
13,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,74.98942093324558
14,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,316.22776601683796
15,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,1333.521432163324
16,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,5623.413251903491
17,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,23713.737056616552
18,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,4.216965034285822,100000.0
19,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,1.0
20,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,4.216965034285822
21,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,17.78279410038923
22,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,74.98942093324558
23,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,316.22776601683796
24,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,1333.521432163324
25,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,5623.413251903491
26,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,23713.737056616552
27,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,17.78279410038923,100000.0
28,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,74.98942093324558,1.0
29,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,74.98942093324558,4.216965034285822
30,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,74.98942093324558,17.78279410038923
31,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,74.98942093324558,74.98942093324558
32,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,74.98942093324558,316.22776601683796
33,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,74.98942093324558,1333.521432163324
