paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr
1,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,1.0
2,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,5.623413251903491
3,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,31.622776601683793
4,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,177.82794100389228
5,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,1000.0
6,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,5623.413251903491
7,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,31622.776601683792
8,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,177827.94100389228
9,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1.0,1000000.0
10,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,5.623413251903491,1.0
11,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,5.623413251903491,5.623413251903491
12,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,5.623413251903491,31.622776601683793
13,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,5.623413251903491,177.82794100389228
14,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,5.623413251903491,1000.0
15,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,5.623413251903491,5623.413251903491
16,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,5.623413251903491,31622.776601683792
17,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,5.623413251903491,177827.94100389228
18,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,5.623413251903491,1000000.0
19,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,31.622776601683793,1.0
20,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,31.622776601683793,5.623413251903491
21,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,31.622776601683793,31.622776601683793
22,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,31.622776601683793,177.82794100389228
23,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,31.622776601683793,1000.0
24,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,31.622776601683793,5623.413251903491
25,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,31.622776601683793,31622.776601683792
26,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,31.622776601683793,177827.94100389228
27,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,31.622776601683793,1000000.0
28,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,177.82794100389228,1.0
29,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,177.82794100389228,5.623413251903491
30,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,177.82794100389228,31.622776601683793
31,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,177.82794100389228,177.82794100389228
32,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,177.82794100389228,1000.0
33,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,177.82794100389228,5623.413251903491
34,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,177.82794100389228,31622.776601683792
